organizations	rank_occ	rank_gcs	rank_lcs	OCC	global_citations	local_citations	first_publication_year	last_year	age	global_citations_per_year	local_citations_per_year	global_citations_per_document	local_citations_per_document	h_index	g_index	m_index	counters
Univ of Leeds (GBR)	1	1	27	6	268	0	2007	2025	19	14.105263157894736	0.0	44.666666666666664	0.0	5	3	0.26	Univ of Leeds (GBR) 6:268
Sebelas Maret Univ (IDN)	2	31	1	6	51	5	2020	2025	6	8.5	0.8333333333333334	8.5	0.8333333333333334	3	3	0.5	Sebelas Maret Univ (IDN) 6:051
Nac Chi Nan Univ (TWN)	3	98	98	5	9	0	2007	2025	19	0.47368421052631576	0.0	1.8	0.0	1	1	0.05	Nac Chi Nan Univ (TWN) 5:009
Budapest Univ of Technol and Econ (HUN)	4	73	76	4	23	0	2023	2025	3	7.666666666666667	0.0	5.75	0.0	1	1	0.33	Budapest Univ of Technol and Econ (HUN) 4:023
Indian Inst of Technol Kharagpur (IND)	5	2	28	3	181	0	2020	2025	6	30.166666666666668	0.0	60.333333333333336	0.0	3	2	0.5	Indian Inst of Technol Kharagpur (IND) 3:181
Kore Univ of Enna (ITA)	6	12	31	3	81	0	2021	2025	5	16.2	0.0	27.0	0.0	2	1	0.4	Kore Univ of Enna (ITA) 3:081
Univ of Tokyo (JPN)	7	45	55	3	44	0	2018	2025	8	5.5	0.0	14.666666666666666	0.0	2	2	0.25	Univ of Tokyo (JPN) 3:044
Delft Univ of Technol (NLD)	8	46	56	3	43	0	2010	2025	16	2.6875	0.0	14.333333333333334	0.0	2	2	0.12	Delft Univ of Technol (NLD) 3:043
Thammasat Univ (THA)	9	151	151	3	1	0	2021	2025	5	0.2	0.0	0.3333333333333333	0.0	1	1	0.2	Thammasat Univ (THA) 3:001
Nac Cheng Kung Univ (TWN)	10	5	2	2	137	3	2018	2025	8	17.125	0.375	68.5	1.5	2	2	0.25	Nac Cheng Kung Univ (TWN) 2:137
Qatar Univ (QAT)	11	9	3	2	102	2	2021	2025	5	20.4	0.4	51.0	1.0	2	2	0.4	Qatar Univ (QAT) 2:102
Tokyo Inst of Technol (JPN)	12	29	45	2	52	0	2012	2025	14	3.7142857142857144	0.0	26.0	0.0	2	2	0.14	Tokyo Inst of Technol (JPN) 2:052
Univ of Med Sciences (IRN)	13	32	47	2	51	0	2014	2025	12	4.25	0.0	25.5	0.0	2	1	0.17	Univ of Med Sciences (IRN) 2:051
