abbr_source_title	OCC	global_citations	local_citations
Transp Res Rec	10	139	0
Transp. Res. Part A Policy Pract.	9	219	3
Case Stud. Transp. Policy	7	94	2
Sustainability	7	40	1
J. Transp. Geogr.	4	54	2
Transp.  Res.  Interdiscip.  Perspect.	3	172	0
Trans. Transp. Sci.	3	13	0
World Electr. Veh. J.	3	1	0
Transp. Res. Part D Transp. Environ.	2	188	1
Atmos. Chem. Phys.	2	92	0
PLoS ONE	2	55	0
Intl. J. Sustainable Transp.	2	53	0
Transp. Res. Part F Traffic Psychol. Behav.	2	42	0
Traffic Inj. Prev.	2	29	0
IEEE Access	2	20	0
Transportation	2	12	0
Transp. Policy	2	6	0
J. Rural Stud.	1	141	1
Sustainable Cities Soc.	1	102	0
Accid. Anal. Prev.	1	77	0
Anal. Methods Accid. Res.	1	52	1
Technol. Soc.	1	49	0
Travel Behav. Soc.	1	48	1
Res. Transp. Econ.	1	39	0
J. Air Waste Manage. Assoc.	1	36	0
J. Optimasi. Sist. Ind.	1	27	5
Int. J. Trans. Sci. Tech.	1	25	0
J. Urban Plann. Dev.	1	24	0
Econ. Anal. Policy	1	14	0
Arch. Phys. Med. Rehabil.	1	9	0
Energy	1	8	0
Environ. Dev. Sustainability	1	6	0
Int. J. Sci. Technol. Res.	1	4	0
Intl. J. Crit. Illn. Inj. Sci.	1	3	0
Energy Policy	1	2	0
Chin. J. Traumatol. Eng. Ed.	1	1	0
Amirkabir. J. Civ. Eng.	1	0	0
